Member [id=727344064, address=8614 LIPSEY PKWY, city=LEWISTON, firstName=DAINA, lastName=FASSETT, state=MN, zip=55952
Member [id=222743521, address=2220 KIEL PKWY, city=ROCHERT, firstName=MIKI, lastName=MCSHANE, state=MN, zip=56578
Member [id=581993933, address=5933 JAWORSKI RD, city=UTICA, firstName=GIANNA, lastName=LAFAVE, state=MN, zip=55979
Member [id=949638481, address=808 BLAZER BLVD, city=NEW GERMANY, firstName=TERISA, lastName=BULLER, state=MN, zip=55367
Member [id=330287180, address=3440 PAULUS ST, city=PUPOSKY, firstName=JAYMIE, lastName=HOUSLEY, state=MN, zip=56667
Member [id=516133562, address=1251 REVELL AVE, city=ELMORE, firstName=GAYNELLE, lastName=GLIDEWELL, state=MN, zip=56027
Member [id=699061261, address=9801 LOWTHER ST, city=ALDEN, firstName=KARENA, lastName=STANDRIDGE, state=MN, zip=56009
Member [id=125859470, address=8562 MCGAHA BLVD, city=CUSSON, firstName=SHARIE, lastName=CANCEL, state=MN, zip=55771
Member [id=715174459, address=6934 LAUDERDALE ST, city=MAPLE PLAIN, firstName=JACELYN, lastName=STCYR, state=MN, zip=55576
Member [id=250198926, address=9569 REVELL ST, city=YOUNG AMERICA, firstName=LACHELLE, lastName=ABSHER, state=MN, zip=55551
Member [id=935075668, address=3045 LIPSEY AVE, city=FDCI, firstName=BLOSSOM, lastName=ANDINO, state=MN, zip=56399
Member [id=564068468, address=8517 DUDEK BLVD, city=SAINT PAUL, firstName=MARLINE, lastName=BACKER, state=MN, zip=55128
Member [id=525322350, address=4331 SQUIRE ST, city=NORWOOD YOUNG AMERIC, firstName=MARAGRET, lastName=CIMINO, state=MN, zip=55473
Member [id=362170285, address=1035 TO RD, city=GOODVIEW, firstName=JALISA, lastName=CLARE, state=MN, zip=55987
Member [id=370816642, address=4492 MCCREADY ST, city=MINNEAPOLIS, firstName=LALA, lastName=REVELL, state=MN, zip=55433
Member [id=703782023, address=1235 DUDEK ST, city=IRON, firstName=MARIKO, lastName=KOWALCZYK, state=MN, zip=55751
Member [id=902727979, address=8720 TELLES ST, city=SAINT LOUIS PARK, firstName=JANEE, lastName=DUSTIN, state=MN, zip=55416
Member [id=801876079, address=7975 COLQUITT RD, city=PONTO LAKE, firstName=MENDY, lastName=HUNG, state=MN, zip=56474
Member [id=968576745, address=9422 TYNES ST, city=MINNESOTA LK, firstName=MILDA, lastName=CORUM, state=MN, zip=56068
